Przychody_ogolem;Aktywa_ogolem;Zobowiazania_ogolem;Zysk_netto;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;W11;W12;W13;W14;W15;Grupujaca
0,16;0,87;1,18;-0,04;-5,31;14,76;-25;-4,6;0;14,49;1984,69;0;0,03;0,03;0;-0,59;0,03;48,22;-35,63;UpadloϾ
0,03;0,68;1,04;-0,03;-5,53;10,56;-100;-4,41;254,82;3085,13;8273,33;1216,67;0,61;0,59;0,01;-0,54;15,79;99,78;-52,94;UpadloϾ
0,13;5,54;6,09;-0,28;-5,58;56,6;-215,38;-5,05;0;1,56;15554,62;645,77;0,15;0,15;0,09;-0,05;48,65;6,29;-9,93;UpadloϾ
0,32;5,47;11,2;-0,32;-5,85;5,59;-100;-5,85;1215,4;916,54;6239,22;0;0,3;0,2;0;-1,37;8,28;95,99;-104,75;UpadloϾ
0,06;1,01;1,52;-0,06;-5,98;11,76;-100;-5,94;0;4,3;6144,17;1155,83;0;0;0;-0,99;73,04;63,37;-50,5;UpadloϾ
2,19;10,71;18,6;0;-6,22;8,44;0;-2,61;213,49;4,46;1785;1756,67;0,13;0,06;0,01;-1,49;98,41;98,47;-73,67;UpadloϾ
0,08;0,03;0,13;0;-6,22;2,01;0;0;0;19,56;136,88;136,88;0,35;0,35;0;-2;209,97;70,05;-333,33;UpadloϾ
0,7;0,48;0,65;-0,03;-6,43;17,98;-4,29;-6,25;15,79;90,3;250,29;0;0,52;0,44;0;-0,4;47,32;65,15;-35,42;UpadloϾ
27,34;16,89;11,14;-1,02;-6,55;-19,22;-3,73;-6,04;126,84;0;225,49;0;1,14;0,29;0,03;0,09;0;100;34,1;UpadloϾ
0,24;1,38;0,46;0;-6,6;-9,86;0;-5,8;2,73;104,73;2098,75;0;0,31;0,3;0;-0,14;10,51;68,28;67,39;UpadloϾ
0,66;0,85;0,57;0;-6,8;-20,29;0;-5,88;21,67;114,65;470,08;66,36;0,9;0,8;0,07;-0,05;37,06;65,1;34,12;UpadloϾ
18,45;32,01;42,15;-2,28;-7,12;22,48;-12,36;-6,97;603,24;23,24;633,26;0;0,76;0,03;0,01;-0,32;0;100;-31,68;UpadloϾ
2,18;1,14;0,55;-0,07;-7,13;-13,76;-3,21;-6,14;135,37;47,28;190,87;60,28;2,81;0,82;0,01;0,6;46,82;73,85;51,75;UpadloϾ
0,03;0,54;0,84;-0,04;-7,15;12,94;-133,33;-7,41;0;4390,73;6570;0;0,64;0,64;0,01;-0,59;0,09;100;-55,56;UpadloϾ
2,12;2,4;1,03;-0,19;-7,65;-13,4;-8,96;-7,92;0;372,75;413,21;80,92;2,11;2,11;0;0,5;18,28;100;57,08;UpadloϾ
1,17;0,76;0,6;-0,06;-7,88;-38,44;-5,13;-7,89;107,85;91,28;237,09;0;2,57;1,39;0,32;0,61;41,26;48,16;21,05;UpadloϾ
1,19;0,93;3,03;-0,07;-7,94;3,51;-5,88;-7,53;84,92;76,79;285,25;0;0,18;0,09;0;-2,47;0,03;100;-225,81;UpadloϾ
0,08;1,66;1,85;-0,14;-8,09;70,4;-175;-8,43;1309,5;181,77;7573,75;0;0,43;0,28;0;-0,66;0;100;-11,45;UpadloϾ
5,17;7,2;7,79;-0,59;-8,18;100;-11,41;-8,19;5,08;141,82;508,32;0;0,45;0,44;0;-0,48;18,27;81,19;-8,19;UpadloϾ
1,83;0,83;0,83;-0,07;-8,2;5891,62;-3,83;-8,43;0;5,35;165,55;0;0,13;0,13;0,01;-0,59;32,25;67,79;0;UpadloϾ
1,9;15,2;14,75;-1,25;-8,22;-274,6;-65,79;-8,22;75,04;28,62;2920;265,11;0,13;0,05;0;-0,26;38,95;31,22;2,96;UpadloϾ
0,1;0,91;0,27;-0,07;-8,25;-11,66;-70;-7,69;14,61;34,54;3321,5;803;0,14;0,13;0,07;-0,23;26,26;100;70,33;UpadloϾ
0,63;0,11;0,13;-0,01;-8,52;80,95;-1,59;-9,09;0;31,3;63,73;0;0,76;0,76;0,02;-0,27;2,01;100;-9,09;UpadloϾ
0,01;3;0,97;-0,27;-8,54;-12,64;-2700;-6,33;10,95;18855,9;109500;0;0,55;0,55;0;-0,15;0;100;67,33;UpadloϾ
0,3;2,35;2,52;-0,19;-8,57;112,9;-63,33;-8,09;29,16;142,39;2859,17;1788,5;0,17;0,16;0,08;-0,81;69,4;98,61;-7,66;UpadloϾ
0,14;2,41;2,27;-0,21;-8,65;-142,49;-150;-8,71;0;2,51;6283,21;182,5;1,38;1,38;0,02;0,15;16,19;40,81;6,22;UpadloϾ
0,7;0,46;0,45;-0,04;-8,7;-310,8;-5,71;-8,7;1,8;51,16;239,86;198,14;0,27;0,26;0;-0,74;79,24;100;2,17;UpadloϾ
0,08;11,28;13,2;-0,92;-8,86;52,05;-1150;-8,16;0;5,15;51465;8349,38;1,7;1,7;0;0,31;72,64;40,97;-17,02;UpadloϾ
1,51;0,55;0,45;-0,05;-8,86;-49,48;-3,31;-9,09;86,58;1,5;132,95;9,67;3,23;0,3;0;0,53;66,07;27,05;18,18;UpadloϾ
0,1;0,51;0,06;-0,05;-8,93;-10,01;-50;-9,8;443,6;68,32;1861,5;0;8,98;6,78;1,23;0,86;0;100;90,2;UpadloϾ
0,5;2,83;4,82;-0,27;-9,13;13,05;-54;-9,54;6,2;283,23;2065,9;1693,6;0,31;0,31;0;-0,76;78,59;62,21;-69,96;UpadloϾ
1,96;1,56;1,37;-0,15;-9,33;-73,69;-7,65;-3,85;5,14;23,27;290,51;31,66;0,28;0,25;0;-0,44;38,58;67,74;12,82;UpadloϾ
1,34;19,45;7,33;-1,7;-9,47;-15,2;-126,87;-8,74;450,86;118,14;5297,95;19,07;3,13;2,78;0;0,48;2,07;64,32;62,31;UpadloϾ
57,5;7,02;12,45;-0,67;-9,61;12,4;-1,17;-9,54;16,57;16,89;44,56;33,2;0,52;0,31;0,08;-0,84;75,1;99,63;-77,35;UpadloϾ
0,59;1,09;0,93;-0,11;-9,71;-66,5;-18,64;-10,09;93,33;5,26;674,32;105,17;0,29;0,05;0;-0,42;42,37;66,62;14,68;UpadloϾ
4,83;4,82;4,38;-0,48;-9,88;-109,45;-9,94;-9,96;6,37;57,95;364,24;0;0,21;0,19;0;-0,71;0;99,35;8,92;UpadloϾ
11,13;4,5;3,94;-0,41;-9,98;-80,1;-3,68;-8,89;4,22;36,3;147,57;39,68;0,48;0,43;0,03;-0,32;47,63;75,9;12,44;UpadloϾ
3,81;2,12;1,9;-0,23;-10,34;-100,11;-6,04;-10,85;18,04;112,15;203,1;68,02;0,81;0,71;0;-0,18;31,63;100;10,38;UpadloϾ
1,5;0,21;0,24;-0,02;-10,47;80,85;-1,33;-9,52;42,58;5,07;51,1;7,3;0,84;0,1;0;-0,19;13,64;100;-14,29;UpadloϾ
0,05;0,08;0,23;-0,01;-10,55;5,43;-20;-12,5;87,72;7,42;584;0;0,26;0,21;0;-2,13;0;100;-187,5;UpadloϾ
4,69;0,87;0,92;-0,09;-10,88;184,27;-1,92;-10,34;0,56;2,36;67,71;0;0,99;0,98;0;-0,01;8,89;91,89;-5,75;UpadloϾ
0,03;0,67;1,04;-0,08;-10,91;19,77;-266,67;-11,94;11,41;55,43;8151,67;0;0,03;0,03;0;-1,57;0,38;99,75;-55,22;UpadloϾ
1,57;1,02;1,07;-0,12;-11,15;218,43;-7,64;-11,76;4,29;44,79;237,13;146,46;0,55;0,54;0,14;-0,5;58,85;100;-4,9;UpadloϾ
0,68;0,1;0,24;-0,01;-11,2;8,18;-1,47;-10;0;49,47;53,68;0;0,42;0,42;0,03;-1,3;0;99,88;-140;UpadloϾ
0,33;0,15;0,25;-0,02;-11,22;17,01;-6,06;-13,33;108,79;38,19;165,91;22,12;0,6;0,2;0,06;-0,6;16,44;99,88;-66,67;UpadloϾ
0,74;0,66;0,44;-0,07;-11,47;-34,38;-9,46;-10,61;17,38;11,59;325,54;0;0,78;0,65;0,04;-0,08;24,02;60,65;33,33;UpadloϾ
45,96;20,64;17,06;-2,39;-11,59;-66,91;-5,2;-14,44;56,32;31,21;163,92;7,31;1,08;0,64;0,05;0,06;4,46;95,53;17,34;UpadloϾ
0,26;0,92;1,18;-0,1;-11,62;42,55;-38,46;-10,87;240,87;1050,67;1291,54;744,04;0,87;0,71;0;-0,14;74,11;90,43;-27,17;UpadloϾ
0,49;3,94;4,75;0;-11,68;57,27;0;-10,66;284,39;57,52;2934,9;0;0,18;0,08;0;-0,76;19,76;83,59;-20,3;UpadloϾ
18,88;30,27;26,77;-3,56;-11,75;-101,48;-18,86;-11,76;55,71;76,43;585,2;33,64;0,88;0,56;0,06;-0,03;51,68;33,47;11,56;UpadloϾ
0,53;5,4;5,23;-0,72;-12,72;-394,39;-135,85;-13,33;112,68;50,2;3718,87;117,08;0,07;0,03;0;-0,7;27;75,2;3,15;UpadloϾ
2,11;3,49;4,1;-0,46;-12,74;72,53;-21,8;-13,18;0;58,2;603,72;0;0,48;0,48;0,01;-0,64;0;100;-17,48;UpadloϾ
11,89;16,62;12,93;-2,14;-12,87;-57,87;-18;-12,88;465,56;27,3;510,2;0;1,8;0,13;0,01;0,44;22,95;70,49;22,26;UpadloϾ
0,32;0,79;0,64;-0,11;-12,87;-65,04;-34,38;-13,92;314,3;56,59;901,09;0;0,56;0,1;0;-0,34;3,32;93,3;20,25;UpadloϾ
4,01;3,76;3,54;-0,45;-12,97;-216,56;-11,22;-10,37;11,23;102,91;342,24;74,64;0,51;0,47;0;-0,38;23,62;88,86;6,12;UpadloϾ
2,58;0,5;0,48;-0,07;-13,08;-254,02;-2,71;-14;36,61;1,39;70,74;15,56;0,79;0,24;0,15;-0,2;21,6;99,23;6;UpadloϾ
0,9;3,22;2,07;0;-13,08;-36,63;0;-12,11;332,74;54,59;1305,89;0;1,05;0,52;0;0,02;16,19;74,81;35,71;UpadloϾ
0,24;0,61;0,58;-0,08;-13,19;-287,39;-33,33;-13,11;325,35;76,54;927,71;60,83;1;0,4;0,02;0;5,62;61,08;4,92;UpadloϾ
1,78;1,36;0,27;-0,17;-13,4;-16,72;-9,55;-12,5;253,64;5,13;278,88;0;4,96;0,37;0,21;0,72;0;100;80,15;UpadloϾ
0,6;0,77;0,57;-0,1;-13,45;-50,63;-16,67;-12,99;54,71;119,96;468,42;176,42;1,12;0,96;0,03;0,08;41,03;100;27,27;UpadloϾ
4,21;5,27;7,02;-0,74;-13,49;40,57;-17,58;-14,04;242,11;27,32;456,9;132,65;0,4;0;0;-0,83;27,97;100;-33,21;UpadloϾ
3,89;4,66;2,06;-0,64;-13,74;-24,67;-16,45;-13,73;215,13;107,87;437,25;52,54;1,82;0,69;0,09;0,36;12,03;97,99;55,58;UpadloϾ
0,61;0,85;0,75;-0,11;-13,96;-123,35;-18,03;-12,94;159,7;113,01;508,61;101,72;1,05;0,7;0;0,05;22,32;100;11,76;UpadloϾ
0,09;3;3,01;-0,42;-14,05;4647,06;-466,67;-14;0;222,65;12166,67;0;0,82;0,82;0,06;-0,13;26,68;73,4;-0,33;UpadloϾ
0,24;1,04;0,58;-0,15;-14,11;-31,81;-62,5;-14,42;110,72;85,25;1581,67;577,92;1,75;1,63;0;0,43;34,9;100;44,23;UpadloϾ
1,86;0,31;1,43;-0,04;-14,14;3,9;-2,15;-12,9;0,62;35,2;60,83;31,4;0,2;0,19;0;-3,42;58,51;99,88;-361,29;UpadloϾ
1,04;2,04;2,62;-0,31;-14,57;51,05;-29,81;-15,2;524,87;13,1;715,96;252,69;0,7;0,13;-0,01;-0,41;34,2;100;-28,43;UpadloϾ
15,58;6,29;7,09;-0,94;-14,93;116,5;-6,03;-14,94;32,23;106,48;147,36;98,4;0,87;0,68;0,01;-0,15;66,79;100;-12,88;UpadloϾ
0,28;2,89;4,34;-0,41;-15,24;30,25;-146,43;-14,19;236,96;5,65;3767,32;743,04;0,22;0,01;0;-0,21;99;19,62;-50,17;UpadloϾ
1,61;0,44;0,26;-0,07;-15,27;-36,93;-4,35;-15,91;77,32;2,24;99,75;2,27;1,88;0,29;0,03;0,45;6,52;82,27;40,91;UpadloϾ
13,53;20,49;17,76;-3,21;-15,67;-117,5;-23,73;-15,28;19,57;48,03;552,76;108,72;0,35;0,26;0;-0,25;68,24;43,98;13,32;UpadloϾ
32,75;97,99;38,34;0;-15,7;-25,78;0;-15,7;21,51;50,78;1092,1;243,96;0,26;0,21;0,02;-0,26;25,93;90,83;60,87;UpadloϾ
2,94;0,84;0,68;-0,13;-15,75;-83,89;-4,42;-15,48;38,03;38,03;104,29;0;1,2;0,75;0,24;0,15;0;100;19,05;UpadloϾ
0,2;0,06;0,35;-0,01;-15,82;3,46;-5;-16,67;16,96;67,21;109,5;0;0,15;0,12;0;-4,5;52,19;90,64;-483,33;UpadloϾ
3,1;2,99;2,61;-0,47;-15,85;-125,63;-15,16;-15,72;1,2;2,32;352,05;0;0,06;0,06;0,03;-0,82;0;100;12,71;UpadloϾ
1,67;1,16;1,62;-0,19;-15,95;40,61;-11,38;-16,38;74,39;16,86;253,53;104,91;0,31;0,08;0,01;-0,9;39,96;89,45;-39,66;UpadloϾ
1;1,59;1,48;-0,27;-16,14;-226,66;-27;-16,98;173,47;120,89;580,35;171,55;1;0,66;0;-0,01;32,79;95,18;6,92;UpadloϾ
0,72;0,49;0,39;-0,09;-16,87;-80,19;-12,5;-18,37;7,8;170,43;248,4;91,25;1,24;1,2;0,1;0,2;34,33;99,81;20,41;UpadloϾ
0,27;0,18;0,1;-0,03;-17,08;-40,41;-11,11;-16,67;0;11,07;243,33;0;1,73;1,73;0,78;0,44;0;100;44,44;UpadloϾ
1,18;0,35;0,77;-0,06;-17,44;14,43;-5,08;-17,14;60,29;9,38;108,26;6,19;0,53;0,12;0,01;-0,69;90,28;62,13;-120;UpadloϾ
5,63;4,46;16,19;-0,78;-17,51;6,67;-13,85;-17,49;56,56;64,91;289,15;0;0,54;0,27;0;-0,33;222,17;20,03;-263;UpadloϾ
1,8;1,59;0,99;-0,28;-17,6;-46,78;-15,56;-16,98;123,84;123,36;322,42;30,42;1,86;1,13;0,05;0,45;18,75;85,16;37,74;UpadloϾ
12,48;10,49;10,14;-1,71;-17,65;-530,53;-13,7;-16,3;42,15;54,09;306,8;74,87;0,56;0,37;0,07;-0,3;37,58;76,46;3,34;UpadloϾ
1,2;0,37;0,8;-0,07;-17,73;15,28;-5,83;-13,51;2,54;82,37;112,54;33,46;0,41;0,39;0;-1,27;30,07;99,5;-116,22;UpadloϾ
0,34;3,41;5,32;-0,56;-17,76;31,62;-164,71;-16,42;37,34;20,5;3660,74;3510,44;0,02;0,01;0;-1,01;104,42;72,01;-56,01;UpadloϾ
1,65;1,03;0,65;-0,17;-18,09;-49,05;-10,3;-16,5;4,92;7,52;227,85;0;0,29;0,26;0,16;-0,4;0;96,5;36,89;UpadloϾ
4,34;0,59;0,61;-0,11;-18,29;579,44;-2,53;-18,64;0;36,75;49,62;0;0,9;0,9;0,13;-0,1;0;100;-3,39;UpadloϾ
0,42;0,58;0,34;-0,1;-19,3;-47,49;-23,81;-15,52;0;242,75;504,05;26,07;1,96;1,96;0;0,22;39,75;42,75;39,66;UpadloϾ
1,16;0,68;0,7;-0,12;-19,6;470,41;-10,34;-17,65;12,56;159,02;213,97;75,52;0,89;0,83;0;-0,1;39,07;100;-4,41;UpadloϾ
0,68;0,32;0,4;-0,07;-19,93;85,3;-10,29;-18,75;0;93,7;171,76;16,1;0,88;0,88;0,01;-0,13;28,73;83,24;-21,88;UpadloϾ
2,07;1,23;0,78;-0,26;-20,02;-54,88;-12,56;-21,14;30,86;34,07;216,88;7,05;1,13;0,8;0,37;0,06;13,77;68,46;36,59;UpadloϾ
0,56;0,6;0,55;-0,13;-20,07;-283,05;-23,21;-21,67;0;3,44;391,07;0;1,08;1,08;0,01;0,08;0;100;6,67;UpadloϾ
3,41;1,25;1,26;-0,26;-20,33;1797,04;-7,62;-21,6;56,65;50,56;133,8;68,5;0,83;0,4;0;-0,18;49,58;98,77;-0,8;UpadloϾ
5,97;0,85;1,71;-0,16;-20,34;20,17;-2,68;-18,82;23,71;0,95;51,97;16,51;0,44;0,12;0,06;-0,74;50,88;70,91;-101,18;UpadloϾ
0,22;0,69;0,9;-0,15;-20,46;65,29;-68,18;-21,74;102,34;77,27;1144,77;431,36;0,13;0,06;0;-1,06;49,65;90,41;-30,43;UpadloϾ
2,23;1,24;1,07;-0,26;-20,48;-153,41;-11,66;-20,97;163,99;34;202,96;75,29;1,18;0,22;0;0,15;38,45;96,87;13,71;UpadloϾ
6,33;14,64;25,53;0;-20,76;27,92;0;-20,7;32,16;20,94;844,17;560,47;0,07;0,04;0,02;-1,51;75,14;92,43;-74,32;UpadloϾ
1,73;2,83;4,92;-0,62;-20,98;28,43;-35,84;-22,26;123,24;63,65;597,08;50,64;0,26;0,14;0;-1,34;8,13;100;-73,85;UpadloϾ
2,07;3,73;6,46;-0,74;-21,1;28,82;-35,75;-19,84;34;12,69;657,71;0;0,36;0,24;0,01;-0,27;1,23;25,37;-73,19;UpadloϾ
0,53;1,76;1,37;-0,34;-21,29;-96,09;-64,15;-19,32;0;102,66;1212,08;433,87;0,16;0,16;0,02;-0,6;39,19;100;22,16;UpadloϾ
1,86;0,2;0,36;-0,05;-21,32;26,93;-2,69;-25;0,47;9,4;39,25;0;0,56;0,55;0,29;-0,85;0;100;-80;UpadloϾ
1,24;0,49;0,72;-0,11;-21,39;46,77;-8,87;-22,45;72,52;18,42;144,23;0;0,68;0,34;0,01;-0,49;0;100;-46,94;UpadloϾ
2,73;0,76;0,69;-0,15;-21,45;-238,49;-5,49;-19,74;29,06;54,45;101,61;0;1,14;0,81;0,09;0,12;6,59;92,8;9,21;UpadloϾ
78,58;34,01;31,63;-7,37;-21,66;-309,97;-9,38;-19,55;26,18;86,51;157,97;41,29;1,06;0,88;0,02;0,05;26,22;99,94;7;UpadloϾ
2,35;0,75;1,16;-0,17;-21,66;39,71;-7,23;-22,67;0,87;6,2;116,49;0;0,22;0,21;0,03;-1,21;0;96,05;-54,67;UpadloϾ
0,19;0,6;0,63;-0,14;-21,97;477,26;-73,68;-23,33;0;81,26;1152,63;0;0,3;0,3;0;-0,45;42,92;59,39;-5;UpadloϾ
73,1;105,14;162,85;-23,27;-22,13;40,31;-31,83;-22,29;72,39;115,71;524,98;4,39;1,11;0,82;0,03;0,05;71,55;30,83;-54,89;UpadloϾ
0,78;0,21;0,65;-0,04;-22,36;11,05;-5,13;-19,05;0;25,65;98,27;116,99;0,16;0,16;0,02;-2,38;124,23;100;-204,76;UpadloϾ
0,64;2,94;5,31;-0,69;-22,43;27,83;-107,81;-23,47;43,26;25,65;1676,72;79,84;0,12;0,06;0;-0,4;111,59;24,45;-80,61;UpadloϾ
0,53;0,15;0,13;-0,03;-22,53;-244,64;-5,66;-20;47,06;46,22;103,3;0;1,08;0,58;0,08;0,07;0;100;6,67;UpadloϾ
2,03;1,25;0,9;-0,27;-22,97;-81,53;-13,3;-21,6;168,03;28,81;224,75;12,59;1,34;0,29;0,01;0,22;6,37;100;28;UpadloϾ
0,01;0,54;0,79;-0,13;-23,09;49,95;-1300;-24,07;4176,55;1222,02;19710;29930;0,68;0,54;0;-0,48;146,25;100;-46,3;UpadloϾ
0,7;0,13;0,16;-0,03;-23,46;132,44;-4,29;-23,08;0;0,55;67,79;15,64;0,26;0,26;0,04;-0,69;49,88;75,25;-15,38;UpadloϾ
0,14;0,04;0,05;-0,01;-23,59;76,32;-7,14;-25;0;9,58;104,29;0;0,71;0,71;0,42;-0,5;0;100,31;-25;UpadloϾ
1,55;0,36;1,3;-0,09;-23,64;9,25;-5,81;-25;31,43;32,44;84,77;25,9;0,29;0,17;0;-2,14;96,79;81,09;-258,33;UpadloϾ
1,69;5;4,93;-1,09;-23,66;-1585;-64,5;-24,4;26,46;10,26;1079,88;0;0,16;0,11;0,08;-0,37;50,62;48,62;1,4;UpadloϾ
0,02;0,01;0,01;0;-23,85;798,57;0;0;0;17,54;182,5;0;0,78;0,78;0,67;0;0;100;0;UpadloϾ
9,74;11,31;10,08;-2,73;-24,09;-220,83;-28,03;-27,41;61,07;15,34;423,83;89,94;0,29;0,1;0,01;-0,54;22,17;85,86;10,88;UpadloϾ
1,12;0,53;0,67;-0,12;-24,1;85,8;-10,71;-22,64;4,63;2,83;172,72;22,81;0,16;0,14;0,02;-0,96;16,72;98,51;-28,3;UpadloϾ
1,15;0,44;0,46;-0,11;-24,31;420,57;-9,57;-25;0;47,8;139,65;28,57;0,93;0,93;0,33;-0,07;21,5;100;-6,82;UpadloϾ
0,22;0,11;0,02;-0,03;-24,34;-29,02;-13,64;-27,27;6,92;0;182,5;0;4,39;4,15;1,11;0,55;0;100;81,82;UpadloϾ
0,34;0,3;0,21;-0,07;-24,35;-79,75;-20,59;-23,33;15,88;46,67;322,06;0;0,99;0,88;0,01;0;0;63,84;30;UpadloϾ
0,79;7,09;10,08;-1,75;-24,68;58,62;-221,52;-24,68;0;189,99;3275,76;0;0,31;0,31;0;-0,54;13,47;55,83;-42,03;UpadloϾ
1,27;1,01;1,17;-0,26;-25,37;159,01;-20,47;-25,74;96,66;166,56;290,28;68,98;1,14;0,76;0,02;0,13;52,43;75,11;-15,84;UpadloϾ
0,82;0,7;0,65;-0,19;-25,52;-348,37;-23,17;-27,14;9,57;31,84;311,59;57,87;0,63;0,6;0,02;-0,33;27,53;89,78;7,14;UpadloϾ
0,22;0,39;4,09;-0,1;-25,56;2,68;-45,45;-25,64;0;410,1;647,05;0;0,08;0,08;0;-9,56;0;100;-951,28;UpadloϾ
0,75;2,6;12,43;-0,66;-25,78;6,81;-88;-25,38;0;14,42;1265,33;3104,93;0,02;0,02;0,01;-4,6;250,11;100;-378,08;UpadloϾ
1,31;0,39;0,48;-0,11;-26,61;121,85;-8,4;-28,21;0;14,16;108,66;39,01;0,7;0,7;0,22;-0,38;34,74;100;-23,08;UpadloϾ
1,42;0,45;0,24;-0,12;-26,92;-57,08;-8,45;-26,67;8,78;10,47;115,67;0;0,33;0,19;0;-0,36;0;100;46,67;UpadloϾ
0,36;0,29;0,28;-0,08;-27,15;-465,07;-22,22;-27,59;173,89;9,17;294,03;0;0,94;0,1;0,02;-0,03;23,74;74,8;6,9;UpadloϾ
1,78;0,86;1,06;-0,22;-27,16;116,01;-12,36;-24,42;66,32;67,49;176,35;0;1,5;0,78;0,04;0,24;0;42,21;-23,26;UpadloϾ
20,01;11,59;8,99;-3,16;-27,25;-121,51;-15,79;-27,26;7,95;44,27;211,41;18,97;0,43;0,37;0;-0,36;8,96;81,06;22,43;UpadloϾ
1,58;1,05;1,49;-0,26;-27,28;64,97;-16,46;-24,76;24,4;36,26;242,56;0;0,27;0,19;0,01;-0,85;0;88,89;-41,9;UpadloϾ
1,38;0,41;0,51;-0,11;-27,85;115,64;-7,97;-19,51;0;100,89;108,44;0;0,98;0,98;0,01;-0,02;0;77,28;-24,39;UpadloϾ
3,58;0,95;1,57;-0,27;-28,2;42,93;-7,54;-28,42;40,03;25,48;96,86;0;0,51;0,26;0,08;-0,81;0;100;-65,26;UpadloϾ
0,34;2,82;2,31;-0,83;-28,34;-156,31;-244,12;-29,43;208,89;74,47;3027,35;1159,41;0,17;0,08;0,01;-0,63;40,04;89,37;18,09;UpadloϾ
14,47;22,07;38,57;-6,27;-28,4;37,99;-43,33;-28,41;152,15;2,39;556,71;57,01;0,19;0,03;0;-1,36;10,26;96,03;-74,76;UpadloϾ
1,49;3,1;4,96;-0,92;-28,49;47,32;-61,74;-29,68;0;161,75;759,4;465,44;0,15;0,15;0;-1,31;69,66;92,29;-60;UpadloϾ
4,56;5,17;6,73;-1,36;-28,51;93,88;-29,82;-26,31;4,01;89,26;413,83;4,8;0,27;0,27;0,02;-0,76;18,29;86,93;-30,37;UpadloϾ
4,94;5,36;1,69;-1,53;-28,58;-41,73;-30,97;-26,68;42,18;19,96;396,03;0;1,24;0,58;0,01;0,04;0;50,86;68,47;UpadloϾ
0,98;0,32;0,4;-0,09;-28,66;113,78;-9,18;-28,13;6,98;0;119,18;55,87;0,26;0,19;0,11;-0,59;89,52;65,07;-25;UpadloϾ
1,28;1,92;2,54;-0,58;-28,91;90,81;-45,31;-32,81;135,34;95,32;547,5;19,96;0,35;0,16;0;-0,88;5,25;98,53;-31,77;UpadloϾ
0,68;0,25;0,25;-0,07;-28,92;1082,61;-10,29;-28;0;32,89;134,19;0;0,4;0,4;0,09;-0,44;20,91;79,64;-4;UpadloϾ
0,47;19,93;8,18;-5,35;-29,15;-49,45;-1138,3;-26,84;27,86;15,48;15477,55;776,6;1,03;1;0,76;0;37,39;19,63;58,96;UpadloϾ
0,5;0,18;0,34;-0,05;-29,21;30,71;-10;-27,78;0,71;0;131,4;0;0,33;0,33;0,06;-1,33;0;100;-94,44;UpadloϾ
5,71;2,94;3,71;-0,8;-29,37;112,74;-14,01;-27,21;83,76;28,06;187,93;45,39;0,57;0,17;0,01;-0,43;42,01;87,49;-26,19;UpadloϾ
13,49;7,25;9,23;-2,13;-29,39;107,52;-15,79;-27,86;0;174,51;196,16;20,56;0,76;0,76;0;-0,3;10,47;100;-27,31;UpadloϾ
14,04;5,48;9,33;-1,73;-29,78;42,46;-12,32;-31,57;7,99;6,25;142,46;77,47;0,08;0,04;0;-1,47;66,11;88,52;-70,26;UpadloϾ
0,46;1,23;3,77;-0,38;-29,95;14,55;-82,61;-11,38;19,52;1,95;975,98;0;0,12;0,11;0,06;-1,58;0;56,07;-206,5;UpadloϾ
0,76;0,35;0,35;-0,1;-30,12;1645,45;-13,16;-28,57;67,4;51,89;168,09;9,61;1,38;0,72;0,11;0,2;37,44;59,89;-2,86;UpadloϾ
31,46;3,55;5,57;-1,08;-30,31;53,09;-3,43;-30,42;8,83;7,85;41,19;2,32;0,51;0,36;0,02;-0,71;5,64;92,29;-57,18;UpadloϾ
3,22;1,48;1,7;-0,45;-30,44;210,37;-13,98;-30,41;97,1;27,48;167,76;0;1,98;0,82;0,11;0,49;44,06;43,31;-14,19;UpadloϾ
1,43;0,22;0,3;-0,07;-30,65;87,2;-4,9;-31,82;4,34;25,28;56,15;0;0,74;0,68;0,31;-0,36;0;100;-36,36;UpadloϾ
2,48;0,94;1,08;-0,28;-32,1;214,55;-11,29;-29,79;19,55;61,62;138,35;69,17;0,59;0,46;0,02;-0,41;57,94;96,24;-14,89;UpadloϾ
0,01;0,07;1,16;-0,02;-32,4;1,92;-200;-28,57;1659,47;0;2555;0;0,68;0;0;-0,29;1689,69;5,35;-1571,43;UpadloϾ
0,56;0,28;0,36;-0,08;-32,53;112,28;-14,29;-28,57;5,99;67,58;182,5;26,07;0,36;0,33;0;-0,75;13,94;100;-28,57;UpadloϾ
1,2;3,42;3,18;-1,16;-32,56;-480,98;-96,67;-33,92;0;36,2;1040,25;361,96;0,12;0,12;0;-0,56;65,41;65,62;6,73;UpadloϾ
2,11;1,13;1,1;-0,34;-32,65;-1582,72;-16,11;-30,09;13;140,96;195,47;0;0,89;0,82;0,02;-0,1;0;98,18;1,77;UpadloϾ
0,92;3,31;5,39;-1,01;-32,98;52,4;-109,78;-30,51;194,22;863,17;1313,21;0;0,55;0,46;0;-0,66;1,9;98,88;-62,84;UpadloϾ
96,89;80,3;85,46;-26,59;-33,11;515,24;-27,44;-33,01;12,43;59,9;302,5;78,24;0,52;0,46;0;-0,32;49,15;63,83;-6,43;UpadloϾ
1,37;11,93;16,77;-3,65;-33,21;81,76;-266,42;-30,6;59,75;338,5;3178,43;1398,72;0,13;0,11;0;-1,13;47,77;100;-40,65;UpadloϾ
4,76;0,42;0,27;-0,15;-33,54;-92,71;-3,15;-33,33;0;11,36;32,21;13,8;0,96;0,96;0,03;-0,02;45,99;92,63;35,71;UpadloϾ
